time:1150938608170Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121581552506Acc:[-0.46118164, 3.7433472, 8.792709]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121645059586Acc:[-0.9065094, 3.2932281, 9.573212]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121708566666Acc:[-0.81552124, 3.3506927, 9.386475]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121772104263Acc:[-0.73890686, 3.628418, 8.826218]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121835641861Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123714334488Acc:[-0.56173706, 3.51828, 8.8884735]Gyro:[-0.0048217773, -9.3078613E-4, 8.087158E-4]Mag:[-13.735962, 36.58142, -55.088806]Pre:nullrot:[0.17984676, 0.008993535, -0.15759249, 0.9709474, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123741250992Acc:[-0.64793396, 3.4656067, 9.084793]Gyro:[-0.0048217773, -9.3078613E-4, 8.087158E-4]Mag:[-13.735962, 36.58142, -55.088806]Pre:nullrot:[0.17984676, 0.008993535, -0.15759249, 0.9709474, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123804758072Acc:[-1.0693054, 3.815155, 9.252396]Gyro:[-0.0048217773, -9.3078613E-4, 8.087158E-4]Mag:[-13.735962, 36.58142, -55.088806]Pre:nullrot:[0.17984676, 0.008993535, -0.15759249, 0.9709474, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123868295670Acc:[-0.88734436, 3.6810913, 9.281128]Gyro:[-0.0048217773, -9.3078613E-4, 8.087158E-4]Mag:[-13.735962, 36.58142, -55.088806]Pre:nullrot:[0.17984676, 0.008993535, -0.15759249, 0.9709474, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123915781021Acc:[-0.88734436, 3.6810913, 9.281128]Gyro:[-0.0048217773, -9.3078613E-4, 8.087158E-4]Mag:[-13.586426, 36.35559, -54.71344]Pre:nullrot:[0.17984676, 0.008993535, -0.15759249, 0.9709474, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123915781021Acc:[-0.88734436, 3.6810913, 9.281128]Gyro:[-0.0048217773, -9.3078613E-4, 8.087158E-4]Mag:[-13.586426, 36.35559, -54.71344]Pre:nullrot:[0.18493405, 0.0060632755, -0.15395854, 0.97059745, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123915781021Acc:[-0.88734436, 3.6810913, 9.281128]Gyro:[-0.004119873, -7.4768066E-4, 0.0012054443]Mag:[-13.586426, 36.35559, -54.71344]Pre:nullrot:[0.18493405, 0.0060632755, -0.15395854, 0.97059745, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123931802750Acc:[-0.7484894, 3.5901184, 8.936356]Gyro:[-0.004119873, -7.4768066E-4, 0.0012054443]Mag:[-13.586426, 36.35559, -54.71344]Pre:nullrot:[0.18493405, 0.0060632755, -0.15395854, 0.97059745, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123995340347Acc:[-1.0357971, 3.7960205, 9.142258]Gyro:[-0.004119873, -7.4768066E-4, 0.0012054443]Mag:[-13.586426, 36.35559, -54.71344]Pre:nullrot:[0.18493405, 0.0060632755, -0.15395854, 0.97059745, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3124058877945Acc:[-0.805954, 3.6858826, 8.854965]Gyro:[-0.004119873, -7.4768066E-4, 0.0012054443]Mag:[-13.586426, 36.35559, -54.71344]Pre:nullrot:[0.18493405, 0.0060632755, -0.15395854, 0.97059745, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
